epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,monotonicity_violation_rate,negative_gain_rate,bounds_violation_rate,mastery_correlation,gain_correlation,main_loss_share,constraint_loss_share,alignment_loss_share,lag_loss_share,retention_loss_share
1,0.5411497326712534,0.692699885457882,0.5171060805418053,0.7159208063078518,0.749603402466204,0.0,0.0,0.0,0.10689329412596223,-0.01693694810764314,0.9823366837636187,0.017663315210074658,-0.0057996619515390205,0.0,0.0
2,0.5187555045043867,0.7242281009840194,0.510786594176779,0.7236751328762538,0.7532141432033401,0.0,0.0,0.0,0.09441603910620444,0.024167748226604523,0.990918587274066,0.009081414837506211,-0.02278324998601056,0.0,0.0
3,0.5074263431247652,0.736638635306188,0.5105251408353144,0.724721604603545,0.7527567178269375,0.0,0.0,0.0,0.10388571166812759,0.024662537209896043,0.9972450808634782,0.002754916407219112,-0.04447610986340755,0.0,0.0
4,0.49513394844964376,0.7467325355449103,0.5115008518403891,0.723054129248157,0.7524355468179739,0.0,0.0,0.0,0.12461531950513603,0.009018477404792006,1.0080014121683967,-0.008001418854055708,-0.07170907190372773,0.0,0.0
5,0.47811648419483954,0.75786358088327,0.5169849955305761,0.7171550633739003,0.7492724990024234,0.0,0.0,0.0,0.11592496537335603,0.03151125803687651,1.0269513359080977,-0.02695133350602545,-0.10884898926947009,0.0,0.0
6,0.4547121656064542,0.7721191106770923,0.5273609994625559,0.7069071974852832,0.7421872718955902,0.0,0.0,0.0,0.11705410199180331,0.03584472704161264,1.0560187230043652,-0.05601872474476914,-0.15909364470513865,0.0,0.0
7,0.4476413228042385,0.7919040709930345,0.5461936447085166,0.6933468563387897,0.7334572599246708,0.0,0.0,0.0,0.11645478966581405,0.029341598225741818,1.0356414870577177,-0.03564148201274869,-0.1573975765913683,0.0,0.0
8,0.43902304984744966,0.8160644545359271,0.5740441564394503,0.6778966579508184,0.7281725369589972,0.0,0.0,0.0,0.09869125150725488,0.0020625305413111777,1.0043737102580053,-0.004373710917493106,-0.1459948082041268,0.0,0.0
9,0.4271108046405674,0.8412959182258068,0.636523750363564,0.6638906530386669,0.7296616025460102,0.0,0.0,0.0,0.09937647295302122,0.014718714160176467,0.9703562895999621,0.029643709722156762,-0.1160300593903329,0.0,0.0
10,0.3724847576469955,0.881120094843823,0.6541224097718998,0.6591455874228617,0.7164351964496005,0.0,0.0,0.0,0.1287079128999061,0.012905251400276558,0.9793145949635557,0.020685410011128728,-0.14657656970096133,0.0,0.0
11,0.35228258494886094,0.9037309144221135,0.6926389105465948,0.6543874253502331,0.7108195700201462,0.0,0.0,0.0,0.13130856094414467,0.025907238504740283,0.939214592884168,0.06075782873473877,-0.11404573169529238,-0.0020510062186967063,2.7603113976114418e-05
12,0.32113594635162945,0.9202364990983956,0.7383156357979288,0.6495037540885602,0.7025664483352636,0.0,0.0,0.0,0.12730922190643865,0.01946629445579533,0.9420849723660241,0.0579150299780887,-0.12826081312227494,-0.007771619430469533,0.0
