student_num,global_idx,step,skill_id,true_answer,prediction,correct,gain,mastery,total_steps,unique_skills
1,6,1,24,1,0.806686,1,0.000000,0.693147,10,3
1,6,2,24,1,0.845802,1,0.000000,0.693147,10,3
1,6,3,24,0,0.572083,0,0.000000,0.693147,10,3
1,6,4,27,0,0.587814,0,0.000000,0.693147,10,3
1,6,5,27,1,0.616369,1,0.000000,0.693147,10,3
1,6,6,27,1,0.683987,1,0.000000,0.693147,10,3
1,6,7,27,1,0.685910,1,0.000000,0.693147,10,3
1,6,8,27,1,0.728724,1,0.000000,0.693147,10,3
1,6,9,41,1,0.732691,1,0.000000,0.693147,10,3
1,6,10,41,1,0.727935,1,0.000000,0.693147,10,3
2,311,1,89,0,0.646226,0,0.000000,0.693147,13,3
2,311,2,90,1,0.647687,1,0.000000,0.693147,13,3
2,311,3,90,1,0.726149,1,0.000000,0.693147,13,3
2,311,4,90,1,0.712536,1,0.000000,0.693147,13,3
2,311,5,90,0,0.739799,0,0.000000,0.693147,13,3
2,311,6,89,0,0.638237,0,0.000000,0.693147,13,3
2,311,7,89,1,0.624881,1,0.000000,0.693147,13,3
2,311,8,89,1,0.679722,1,0.000000,0.693147,13,3
2,311,9,89,1,0.685475,1,0.000000,0.693147,13,3
2,311,10,89,0,0.748042,0,0.000000,0.693147,13,3
2,311,11,95,1,0.693054,1,0.000000,0.693147,13,3
2,311,12,95,1,0.769631,1,0.000000,0.693147,13,3
2,311,13,95,1,0.766529,1,0.000000,0.693147,13,3
3,415,1,20,1,0.761692,1,0.000000,0.693147,16,5
3,415,2,20,1,0.820789,1,0.000000,0.693147,16,5
3,415,3,20,1,0.764122,1,0.000000,0.693147,16,5
3,415,4,22,1,0.805814,1,0.000000,0.693147,16,5
3,415,5,22,1,0.834317,1,0.000000,0.693147,16,5
3,415,6,22,1,0.887290,1,0.000000,0.693147,16,5
3,415,7,67,1,0.919516,1,0.000000,0.693147,16,5
3,415,8,67,1,0.917064,1,0.000000,0.693147,16,5
3,415,9,67,1,0.897195,1,0.000000,0.693147,16,5
