student_id,interaction_idx,skill_id,lc
3675,0,62,0.8074673414230347
3675,1,62,0.9040717482566833
3675,2,62,0.9099931716918945
3675,3,62,0.9128926396369934
3675,4,62,0.8774035573005676
3675,5,62,0.86039137840271
3675,6,62,0.8444871306419373
3675,7,62,0.8348280191421509
3675,8,62,0.827193558216095
3675,9,62,0.8546225428581238
3675,10,62,0.8779197931289673
3675,11,62,0.8903449177742004
3675,12,62,0.8681060671806335
3675,13,62,0.8584844470024109
3675,14,62,0.8691154718399048
3675,15,10,0.9282780885696411
3675,16,10,0.9210054874420166
3675,17,10,0.936715304851532
3651,0,1,0.4670448303222656
3651,1,1,0.5215036273002625
3651,2,1,0.5423532128334045
3651,3,1,0.5643970966339111
3651,4,1,0.5630384087562561
3651,5,1,0.5510437488555908
3651,6,1,0.5625321269035339
3651,7,1,0.5846104621887207
1692,0,57,0.8396151661872864
1692,1,57,0.9147891998291016
1692,2,57,0.9493870139122009
1692,3,57,0.9278795123100281
1692,4,57,0.926882266998291
1692,5,57,0.9246038198471069
3076,0,15,0.6074255108833313
3076,1,15,0.4289376437664032
3076,2,15,0.5339833498001099
3076,3,15,0.5486518740653992
3076,4,14,0.16441935300827026
3076,5,14,0.21720926463603973
3076,6,14,0.22739514708518982
3076,7,14,0.2445032149553299
3076,8,14,0.2594817876815796
3076,9,14,0.2256041318178177
1558,0,57,0.830767810344696
1558,1,57,0.9564199447631836
1558,2,57,0.951887845993042
1558,3,57,0.9288909435272217
1558,4,57,0.9406023621559143
1558,5,57,0.9552374482154846
1558,6,57,0.9567076563835144
1558,7,57,0.9558257460594177
1558,8,57,0.9408929347991943
1558,9,57,0.9370231628417969
1558,10,57,0.9341902136802673
1558,11,57,0.9345574378967285
1558,12,57,0.9322136044502258
1237,0,51,0.9757029414176941
1237,1,52,0.33615562319755554
1237,2,51,0.9638797640800476
1237,3,52,0.41358107328414917
1237,4,51,0.9575775265693665
1237,5,52,0.4403616786003113
1237,6,51,0.9570146799087524
1237,7,52,0.4400613009929657
1237,8,45,0.8123693466186523
1237,9,57,0.8956786394119263
1237,10,57,0.9119578003883362
1237,11,57,0.9226397275924683
1237,12,57,0.9164823889732361
1501,0,49,0.9375036358833313
1501,1,57,0.9037688374519348
1501,2,57,0.9238905310630798
1501,3,57,0.9258944988250732
1501,4,57,0.939937949180603
1501,5,57,0.9297274351119995
1501,6,57,0.9278432130813599
