student_id,skill_id,idkt_rate,bkt_rate
134,57,0.04238613322377205,0.044857531785964966
134,57,0.0424613431096077,0.044857531785964966
134,61,0.3358128070831299,0.3241029381752014
134,61,0.33264896273612976,0.3241029381752014
134,61,0.3378159701824188,0.3241029381752014
134,61,0.33341002464294434,0.3241029381752014
134,61,0.33636245131492615,0.3241029381752014
134,61,0.3360233008861542,0.3241029381752014
134,2,0.3331417143344879,0.3265661895275116
134,2,0.335084468126297,0.3265661895275116
134,2,0.33658191561698914,0.3265661895275116
134,79,0.0740407332777977,0.06960131973028183
134,79,0.07334568351507187,0.06960131973028183
134,79,0.07060448080301285,0.06960131973028183
134,78,0.8145570158958435,0.8212118744850159
134,78,0.8155872225761414,0.8212118744850159
134,78,0.8168743848800659,0.8212118744850159
134,78,0.8158055543899536,0.8212118744850159
134,62,0.23269860446453094,0.2343873828649521
134,62,0.23722384870052338,0.2343873828649521
134,62,0.23603346943855286,0.2343873828649521
134,63,0.3386130630970001,0.33021411299705505
134,63,0.3366890251636505,0.33021411299705505
134,63,0.34019526839256287,0.33021411299705505
134,63,0.34148338437080383,0.33021411299705505
134,63,0.34184080362319946,0.33021411299705505
134,63,0.341920405626297,0.33021411299705505
134,33,0.16896741092205048,0.16700245440006256
134,5,0.05903991311788559,0.06117602437734604
134,5,0.059218402951955795,0.06117602437734604
134,5,0.060606930404901505,0.06117602437734604
134,5,0.059702321887016296,0.06117602437734604
134,33,0.17029231786727905,0.16700245440006256
134,33,0.16840600967407227,0.16700245440006256
134,33,0.16992992162704468,0.16700245440006256
134,33,0.16890431940555573,0.16700245440006256
134,33,0.16815902292728424,0.16700245440006256
134,33,0.16978658735752106,0.16700245440006256
134,33,0.16974151134490967,0.16700245440006256
134,33,0.17005868256092072,0.16700245440006256
134,33,0.17046710848808289,0.16700245440006256
134,33,0.1702105700969696,0.16700245440006256
134,33,0.1699553281068802,0.16700245440006256
134,33,0.17087697982788086,0.16700245440006256
134,33,0.1699219048023224,0.16700245440006256
