epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,monotonicity_violation_rate,negative_gain_rate,bounds_violation_rate,mastery_correlation,gain_correlation,main_loss_share,constraint_loss_share,alignment_loss_share,lag_loss_share,retention_loss_share
1,0.5554387237432707,0.6903121202996418,0.5156477276159792,0.7156436689072071,0.7499051085655335,0.0,0.0,0.0,0.035808482518267674,0.020970511833071744,0.9600307652756964,0.039969233864217565,0.0,0.0,0.0
2,0.5453027015831804,0.7238164874338333,0.5104376564220506,0.7237603655098637,0.7532336081129744,0.0,0.0,0.0,0.06286231471463133,0.06157187090094063,0.9429937061316851,0.0570062919037872,0.0,0.0,0.0
3,0.5514460490157567,0.7369571348484757,0.5112544918546871,0.724432788469794,0.7521825029927298,0.0,0.0,0.0,0.038945705105963985,0.07032824010630746,0.9169677018724324,0.08303229735751147,0.0,0.0,0.0
4,0.5570422095955962,0.7497085834399912,0.5145662329634841,0.7205225766565997,0.7497980515625456,0.0,0.0,0.0,0.04630796054061606,0.07198664382015013,0.8920047591374092,0.10799524131305274,0.0,0.0,0.0
5,0.5444891313814746,0.765194121825771,0.5220490219641705,0.7124925983910727,0.7450194162473601,0.0,0.0,0.0,0.03909073605048809,0.11642145438910335,0.8917706346590939,0.1082293621149758,0.0,0.0,0.0
6,0.5262064246624862,0.7859236162309273,0.5311302670410701,0.7027715417392222,0.7421386096215048,0.0,0.0,0.0,0.054796913397299606,0.1034392870408188,0.8907091650562563,0.10929083589746186,0.0,0.0,0.0
7,0.5024695743859741,0.8104498807495579,0.5525405686728808,0.6894789757459442,0.7357346543518671,0.0,0.0,0.0,0.05435836132876966,0.095233332438332,0.8882417659889539,0.11175823101473001,0.0,0.0,0.0
8,0.47557975143348613,0.8354178014960005,0.5807388205917514,0.6801941410562489,0.7409512501338212,0.0,0.0,0.0,0.03743994081217843,0.11641497961781333,0.8844094284640311,0.11559057060248401,0.0,0.0,0.0
9,0.45180917558274736,0.854731218876793,0.6014206737888103,0.6729412135639155,0.7294766859044857,0.0,0.0,0.0,0.039401610394370526,0.06873926568720604,0.8804341812442393,0.1195658190975337,0.0,0.0,0.0
10,0.40317643584365054,0.891212696144034,0.6704727447762782,0.6621930003157465,0.714148069567587,0.0,0.0,0.0,0.06382038084434219,0.06515576502632545,0.8683616043507978,0.13163839794719637,0.0,0.0,0.0
11,0.36818522801671005,0.9128072427103063,0.7707708380660232,0.6504250240137422,0.7056613689670945,0.0,0.0,0.0,0.05350439348882784,0.053882510815942385,0.857207632577366,0.14279236747505875,0.0,0.0,0.0
12,0.3405636624659899,0.9276073652972225,0.9046235242668463,0.6365917663719787,0.695919181695199,0.0,0.0,0.0,0.059729093046710216,0.061801063357144956,0.8468628270662291,0.15313717321715434,0.0,0.0,0.0
