student_num,global_idx,step,skill_id,true_answer,prediction,correct,gain,mastery,total_steps,unique_skills
1,6,1,24,1,0.837094,1,0.000000,0.561687,10,3
1,6,2,24,1,0.884521,1,0.000000,0.602933,10,3
1,6,3,24,0,0.584382,0,0.000000,0.621524,10,3
1,6,4,27,0,0.607492,0,0.000000,1.360688,10,3
1,6,5,27,1,0.667831,1,0.000000,1.360688,10,3
1,6,6,27,1,0.700901,1,0.000000,1.360688,10,3
1,6,7,27,1,0.706330,1,0.000000,1.360688,10,3
1,6,8,27,1,0.776974,1,0.000000,1.360688,10,3
1,6,9,41,1,0.754812,1,0.000000,0.524288,10,3
1,6,10,41,1,0.774980,1,0.000000,0.524288,10,3
2,311,1,89,0,0.655955,0,0.000000,0.649047,13,3
2,311,2,90,1,0.669667,1,0.000000,0.568831,13,3
2,311,3,90,1,0.740051,1,0.000000,0.568831,13,3
2,311,4,90,1,0.727086,1,0.000000,0.568831,13,3
2,311,5,90,0,0.767778,0,0.000000,0.568831,13,3
2,311,6,89,0,0.667119,0,0.000000,0.649047,13,3
2,311,7,89,1,0.621008,1,0.000000,0.649047,13,3
2,311,8,89,1,0.692925,1,0.000000,0.649047,13,3
2,311,9,89,1,0.717345,1,0.000000,0.649047,13,3
2,311,10,89,0,0.745331,0,0.000000,0.649047,13,3
2,311,11,95,1,0.704190,1,0.000000,1.396569,13,3
2,311,12,95,1,0.820368,1,0.000000,1.396569,13,3
2,311,13,95,1,0.784164,1,0.000000,1.486367,13,3
3,415,1,20,1,0.794743,1,0.000000,0.344292,16,5
3,415,2,20,1,0.839695,1,0.000000,0.344292,16,5
3,415,3,20,1,0.776737,1,0.000000,0.344292,16,5
3,415,4,22,1,0.845891,1,0.000000,0.664523,16,5
3,415,5,22,1,0.873322,1,0.000000,0.673959,16,5
3,415,6,22,1,0.925690,1,0.000000,0.711968,16,5
3,415,7,67,1,0.951779,1,0.000000,0.766182,16,5
3,415,8,67,1,0.953785,1,0.000000,0.766182,16,5
3,415,9,67,1,0.936147,1,0.000000,0.821919,16,5
3,415,10,57,1,0.934253,1,0.000000,1.204712,16,5
3,415,11,57,1,0.927669,1,0.000000,1.275224,16,5
3,415,12,57,1,0.876925,1,0.000000,1.275224,16,5
3,415,13,33,0,0.831779,0,0.000000,1.175926,16,5
3,415,14,33,1,0.818093,1,0.000000,1.175926,16,5
3,415,15,33,1,0.858386,1,0.000000,1.175926,16,5
3,415,16,33,1,0.840726,1,0.000000,1.246915,16,5
4,278,1,79,0,0.899241,0,0.000000,0.288959,22,6
4,278,2,7,0,0.460117,1,0.000000,1.425145,22,6
4,278,3,2,1,0.491811,0,0.000000,0.630604,22,6
4,278,4,2,1,0.541536,1,0.000000,0.630604,22,6
4,278,5,2,0,0.557647,0,0.000000,0.630604,22,6
4,278,6,2,1,0.516354,1,0.000000,0.630604,22,6
4,278,7,2,0,0.624662,0,0.000000,0.630604,22,6
4,278,8,78,1,0.744721,1,0.000000,1.175780,22,6
4,278,9,12,0,0.664131,0,0.000000,0.737624,22,6
4,278,10,12,1,0.758034,1,0.000000,0.737624,22,6
4,278,11,7,1,0.851900,1,0.000000,1.425145,22,6
4,278,12,7,1,0.877895,1,0.000000,1.425145,22,6
4,278,13,7,1,0.836775,1,0.000000,1.440006,22,6
4,278,14,63,1,0.874478,1,0.000000,0.625749,22,6
4,278,15,63,1,0.887365,1,0.000000,0.625749,22,6
4,278,16,63,1,0.896367,1,0.000000,0.668281,22,6
4,278,17,63,0,0.825109,0,0.000000,0.668281,22,6
4,278,18,79,0,0.709872,0,0.000000,0.401326,22,6
4,278,19,79,1,0.653175,1,0.000000,0.401326,22,6
4,278,20,78,1,0.857715,1,0.000000,1.175780,22,6
4,278,21,78,1,0.851841,1,0.000000,1.175780,22,6
4,278,22,78,0,0.864090,0,0.000000,1.175780,22,6
5,372,1,47,1,0.788219,1,0.000000,0.619682,28,7
5,372,2,47,1,0.803694,1,0.000000,0.634316,28,7
5,372,3,47,1,0.834886,1,0.000000,0.634316,28,7
5,372,4,37,1,0.913218,1,0.000000,0.837077,28,7
